ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
03305-4000-1.zip,202202101218,岩手郡滝沢村滝沢字湯舟沢,水-18,,
03305-4000-2.zip,202202101218,岩手郡滝沢村鵜飼字姥屋敷,水-2,,
03305-4000-2.zip,202202101218,岩手郡滝沢村,地区外-11467516,,
03305-4000-2.zip,202202101218,岩手郡滝沢村,地区外-11467517,,
03305-4000-2.zip,202202101218,岩手郡滝沢村,地区外-11467518,,
03305-4000-2.zip,202202101218,岩手郡滝沢村,地区外-11467519,,
03305-4000-2.zip,202202101218,岩手郡滝沢村,地区外-11467520,,
03305-4000-2.zip,202202101218,岩手郡滝沢村,地区外-11467521,,
03305-4000-2.zip,202202101218,岩手郡滝沢村,地区外-11467522,,
03305-4000-3.zip,202202101218,岩手郡滝沢村鵜飼字臨安,道-29,,
03305-4000-3.zip,202202101218,岩手郡滝沢村鵜飼字臨安,長狭物不明-44,,
03305-4000-3.zip,202202101218,岩手郡滝沢村鵜飼字臨安,長狭物不明-45,,
03305-4000-3.zip,202202101218,岩手郡滝沢村鵜飼字臨安,長狭物不明-46,,
03305-4000-4.zip,202202101218,岩手郡滝沢村鵜飼字沼森,道-2,,
03305-4000-4.zip,202202101218,岩手郡滝沢村鵜飼字沼森,道-188,,
03305-4000-4.zip,202202101218,岩手郡滝沢村鵜飼字沼森,長狭物不明-4,,
03305-4000-4.zip,202202101218,岩手郡滝沢村鵜飼字沼森,長狭物不明-5,,
03305-4000-4.zip,202202101218,岩手郡滝沢村鵜飼字沼森,長狭物不明-8,,
03305-4000-4.zip,202202101218,岩手郡滝沢村鵜飼字沼森,長狭物不明-10,,
03305-4000-4.zip,202202101218,岩手郡滝沢村鵜飼字臨安,長狭物不明-10,,
03305-4000-4.zip,202202101218,岩手郡滝沢村鵜飼字臨安,長狭物不明-11,,
03305-4000-5.zip,202202101218,岩手郡滝沢村鵜飼字沼森,道-1,,
03305-4000-5.zip,202202101218,岩手郡滝沢村鵜飼字臨安,道-2,,
03305-4000-5.zip,202202101218,岩手郡滝沢村鵜飼字臨安,長狭物不明-2,,
03305-4000-5.zip,202202101218,岩手郡滝沢村鵜飼字臨安,長狭物不明-3,,
